                 ::1 |  2012-09-17 19:56:53 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 19:56:56 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 19:56:57 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 19:59:27 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 19:59:29 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 20:12:19 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:31:02 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:48:59 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:49:22 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:49:24 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:56:59 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:57:12 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:57:13 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
                 ::1 |  2012-09-17 21:57:14 | Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)
